Feature,Importance
engagement_score,0.15776209674208197
training_effectiveness,0.14416933682087368
training_hours,0.13237019588920243
projects_completed,0.10160973456249045
productivity_ratio,0.08520354237028696
satisfaction_score,0.056747209739657224
manager_rating,0.05278310369533128
peer_review_score,0.0466863532748009
absenteeism_days,0.03610826637140564
avg_monthly_hours,0.02977376544935629
salary,0.029127471569856893
career_pace,0.024849545746043693
experience_years,0.02204870341176654
age,0.02201178710613128
last_promotion_years,0.017442690419650995
education_Bachelor,0.0047759191760242
gender_Male,0.004061358464855048
gender_Female,0.0038543523915847973
department_Operations,0.003696193844064286
education_Master,0.003628789534003219
department_Finance,0.003383157388288176
department_Sales,0.0033241487947052338
department_Marketing,0.0032533503822233445
department_HR,0.002911594438993153
department_Engineering,0.00274123268935495
education_High School,0.0024074015412356383
education_PhD,0.0017946438136682043
gender_Other,0.0014740543720636891
